id, title              , artist        , genre    , mood   , energy, tempo_bpm, valence, danceability, acousticness, popularity, release_year
 1, Sunrise City       , Neon Echo     , pop      , happy  ,   0.82,       118,    0.84,         0.79,         0.18,         85,         2022
 2, Midnight Coding    , LoRoom        , lofi     , chill  ,   0.42,        78,    0.56,         0.62,         0.71,         92,         2020
 3, Storm Runner       , Voltline      , rock     , intense,   0.91,       152,    0.48,         0.66,         0.10,         60,         2018
 4, Library Rain       , Paper Lanterns, lofi     , chill  ,   0.35,        72,    0.60,         0.58,         0.86,         78,         2019
 5, Gym Hero           , Max Pulse     , pop      , intense,   0.93,       132,    0.77,         0.88,         0.05,         95,         2023
 6, Spacewalk Thoughts , Orbit Bloom   , ambient  , chill  ,   0.28,        60,    0.65,         0.41,         0.92,         40,         2021
 7, Coffee Shop Stories, Slow Stereo   , jazz     , relaxed,   0.37,        90,    0.71,         0.54,         0.89,         55,         1998
 8, Night Drive Loop   , Neon Echo     , synthwave, moody  ,   0.75,       110,    0.49,         0.73,         0.22,         80,         2022
 9, Focus Flow         , LoRoom        , lofi     , focused,   0.40,        80,    0.59,         0.60,         0.78,         88,         2020
10, Rooftop Lights     , Indigo Parade , indie pop, happy  ,   0.76,       124,    0.81,         0.82,         0.35,         65,         2015
11, Neon Nights        , DJ Spark      , edm      , hyped  ,   0.88,       128,    0.65,         0.85,         0.02,         70,         2019
12, Moonlit Sonata     , Clara Bow     , classical, sad    ,   0.15,        65,    0.10,         0.20,         0.98,         45,         1801
13, Dusty Roads        , The Ramblers  , country  , upbeat ,   0.65,       110,    0.75,         0.60,         0.45,         50,         1975
14, Midnight Groove    , Silky Smooth  , r&b      , soulful,   0.55,        95,    0.68,         0.78,         0.30,         82,         2004
15, Steel Titan        , Iron Wrath    , metal    , angry  ,   0.95,       160,    0.30,         0.40,         0.01,         35,         1988
16, Velvet Sky         , Nina Soul     , soul     , calm   ,   0.45,        80,    0.50,         0.55,         0.65,         68,         1995
17, City Pulse         , Metro Beats   , hip hop  , bouncy ,   0.70,        98,    0.60,         0.82,         0.15,         90,         2023
